paper_dir,pdf,markdown,source,chars
01_MARG_Multi_Agent_Review_Generation,01_MARG_Multi_Agent_Review_Generation.pdf,01_MARG_Multi_Agent_Review_Generation.md,MinerU existing,220065
02_PeerRead_Dataset_of_Peer_Reviews,02_PeerRead_Dataset_of_Peer_Reviews.pdf,02_PeerRead_Dataset_of_Peer_Reviews.md,MinerU existing,50790
03_FactReview_Evidence_Grounded_Reviews,03_FactReview_Evidence_Grounded_Reviews.pdf,03_FactReview_Evidence_Grounded_Reviews.md,MinerU existing,42787
04_OpenNovelty_Verifiable_Scholarly_Novelty_Assessment,04_OpenNovelty_Verifiable_Scholarly_Novelty_Assessment.pdf,04_OpenNovelty_Verifiable_Scholarly_Novelty_Assessment.md,MinerU existing,114742
05_NoveltyAgent_Pointwise_Novelty_Analysis,05_NoveltyAgent_Pointwise_Novelty_Analysis.pdf,05_NoveltyAgent_Pointwise_Novelty_Analysis.md,MinerU existing,125723
06_ReviewGrounder_Rubric_Guided_Tool_Integrated_Agents,06_ReviewGrounder_Rubric_Guided_Tool_Integrated_Agents.pdf,06_ReviewGrounder_Rubric_Guided_Tool_Integrated_Agents.md,MinerU existing,119395
07_RottenReviews_Review_Quality_Benchmark,07_RottenReviews_Review_Quality_Benchmark.pdf,07_RottenReviews_Review_Quality_Benchmark.md,MinerU existing,51893
08_DeepReview_DeepReview13K_2503.08569,08_DeepReview_DeepReview13K_2503.08569.pdf,08_DeepReview_DeepReview13K_2503.08569.md,MinerU existing,114915
09_ReviewAgents_Bridging_the_Gap_Between_Human_and_AI_2503.08506,09_ReviewAgents_Bridging_the_Gap_Between_Human_and_AI_2503.08506.pdf,09_ReviewAgents_Bridging_the_Gap_Between_Human_and_AI_2503.08506.md,MinerU existing,72725
10_ScholarPeer_Context_Aware_Multi_Agent_Framework,10_ScholarPeer_Context_Aware_Multi_Agent_Framework.pdf,10_ScholarPeer_Context_Aware_Multi_Agent_Framework.md,MinerU existing,158513
11_AgentReview_EMNLP2024,11_AgentReview_EMNLP2024.pdf,11_AgentReview_EMNLP2024.md,MinerU existing,69106
12_Can_LLMs_Provide_Useful_Feedback_on_Research_Papers,12_Can_LLMs_Provide_Useful_Feedback_on_Research_Papers.pdf,12_Can_LLMs_Provide_Useful_Feedback_on_Research_Papers.md,MinerU existing,94972
13_Can_LLMs_Be_Trusted_Paper_Reviewers_2025,13_Can_LLMs_Be_Trusted_Paper_Reviewers_2025.pdf,13_Can_LLMs_Be_Trusted_Paper_Reviewers_2025.md,MinerU API,38241
13_Is_LLM_a_Reliable_Reviewer,13_Is_LLM_a_Reliable_Reviewer.pdf,13_Is_LLM_a_Reliable_Reviewer.md,MinerU existing,53738
14_RAGChecker_Fine_grained_RAG_Evaluation_2024,14_RAGChecker_Fine_grained_RAG_Evaluation_2024.pdf,14_RAGChecker_Fine_grained_RAG_Evaluation_2024.md,MinerU API,100788
14_SubstanReview_Automatic_Analysis_of_Substantiation,14_SubstanReview_Automatic_Analysis_of_Substantiation.pdf,14_SubstanReview_Automatic_Analysis_of_Substantiation.md,MinerU existing,69642
15_Can_We_Automate_Scientific_Reviewing,15_Can_We_Automate_Scientific_Reviewing.pdf,15_Can_We_Automate_Scientific_Reviewing.md,MinerU existing,109618
15_RefChecker_Fine_grained_Hallucination_Checker_2024,15_RefChecker_Fine_grained_Hallucination_Checker_2024.pdf,15_RefChecker_Fine_grained_Hallucination_Checker_2024.md,MinerU API,99310
16_MA_RAG_Multi_Agent_RAG_2025,16_MA_RAG_Multi_Agent_RAG_2025.pdf,16_MA_RAG_Multi_Agent_RAG_2025.md,MinerU API,106093
A_Survey_on_Evaluation_of_Large_Language_Models_2307.03109,A_Survey_on_Evaluation_of_Large_Language_Models_2307.03109.pdf,A_Survey_on_Evaluation_of_Large_Language_Models_2307.03109.md,MinerU API,219444
AstroReview_LLM_driven_Multi_Agent_Framework_for_Telescope_Proposal_Review_2512.24754,AstroReview_LLM_driven_Multi_Agent_Framework_for_Telescope_Proposal_Review_2512.24754.pdf,AstroReview_LLM_driven_Multi_Agent_Framework_for_Telescope_Proposal_Review_2512.24754.md,MinerU API,37825
Evaluation_and_Benchmarking_of_LLM_Agents_A_Survey_2507.21504,Evaluation_and_Benchmarking_of_LLM_Agents_A_Survey_2507.21504.pdf,Evaluation_and_Benchmarking_of_LLM_Agents_A_Survey_2507.21504.md,MinerU API,79281
Large_Language_Model_based_Multi_Agents_A_Survey_2402.01680,Large_Language_Model_based_Multi_Agents_A_Survey_2402.01680.pdf,Large_Language_Model_based_Multi_Agents_A_Survey_2402.01680.md,MinerU API,88800
Multi_Agent_Collaboration_Mechanisms_A_Survey_of_LLMs_2501.06322,Multi_Agent_Collaboration_Mechanisms_A_Survey_of_LLMs_2501.06322.pdf,Multi_Agent_Collaboration_Mechanisms_A_Survey_of_LLMs_2501.06322.md,MinerU API,140628
Navigating_Through_Paper_Flood_Advancing_LLM_based_Paper_Evaluation_2508.05129,Navigating_Through_Paper_Flood_Advancing_LLM_based_Paper_Evaluation_2508.05129.pdf,Navigating_Through_Paper_Flood_Advancing_LLM_based_Paper_Evaluation_2508.05129.md,MinerU API,70806
Paper_Circle_Open_source_Multi_agent_Research_Discovery_2604.06170,Paper_Circle_Open_source_Multi_agent_Research_Discovery_2604.06170.pdf,Paper_Circle_Open_source_Multi_agent_Research_Discovery_2604.06170.md,MinerU API,80423
REMOR_Automated_Peer_Review_Generation_with_LLM_Reasoning_2505.11718,REMOR_Automated_Peer_Review_Generation_with_LLM_Reasoning_2505.11718.pdf,REMOR_Automated_Peer_Review_Generation_with_LLM_Reasoning_2505.11718.md,MinerU API,69859
REM_CTX_Automated_Peer_Review_via_Reinforcement_Learning_2604.00248,REM_CTX_Automated_Peer_Review_via_Reinforcement_Learning_2604.00248.pdf,REM_CTX_Automated_Peer_Review_via_Reinforcement_Learning_2604.00248.md,MinerU API,41348
Reimagining_Peer_Review_Process_Through_Multi_Agent_Mechanism_Design_2601.19778,Reimagining_Peer_Review_Process_Through_Multi_Agent_Mechanism_Design_2601.19778.pdf,Reimagining_Peer_Review_Process_Through_Multi_Agent_Mechanism_Design_2601.19778.md,MinerU API,19301
ReviewRL_Towards_Automated_Scientific_Review_with_RL_2508.10308,ReviewRL_Towards_Automated_Scientific_Review_with_RL_2508.10308.pdf,ReviewRL_Towards_Automated_Scientific_Review_with_RL_2508.10308.md,MinerU API,50061
Towards_Reasoning_in_LLMs_via_Multi_Agent_Peer_Review_2311.08152,Towards_Reasoning_in_LLMs_via_Multi_Agent_Peer_Review_2311.08152.pdf,Towards_Reasoning_in_LLMs_via_Multi_Agent_Peer_Review_2311.08152.md,MinerU API,70706
Unveiling_LLM_Evaluation_Focused_on_Metrics_2404.09135,Unveiling_LLM_Evaluation_Focused_on_Metrics_2404.09135.pdf,Unveiling_LLM_Evaluation_Focused_on_Metrics_2404.09135.md,MinerU API,81265
